aphasic speech, correct sentence
you give me good tips,youre giving me good tips
me want to sound more natural,i want to sound more natural
he no can speak in sentences,he can not speak in complete sentences
i have difficulty with accents,i have difficulty with certain accents
she no can say certain sounds,she can not say certain sounds clearly
we work on speech goals,we work on my speech goals during therapy
you help me feel confident,youre helping me feel more confident
me need more time to practice,i need more time to practice my speech
he no can make certain sounds,he can not make certain sounds correctly
i have trouble with voice pitch,i have trouble with my voice pitch
she no can say certain words,she can not say certain words correctly
we practice mouth exercises,we practice mouth exercises during therapy
you give me good strategies,youre giving me good strategies for my speech
luggage carry assistance,i will ask for assistance in carrying my luggage
directions location request,you can request directions to a specific location
technical support call,we will call technical support for help with our computer
recipe help ask,i will ask for help in understanding a recipe
car issue diagnose assistance,you can ask for assistance in diagnosing a car issue
meeting agenda clarify,we will ask for clarification on the meeting agenda
proofread essay request,i will request someone to proofread my essay
gardening advice ask,you can ask for gardening advice from a neighbor
furniture assembly help,we will ask for help with assembling furniture
language learning tips request,i will request tips for learning a new language
repair advice seek,you can seek advice on how to repair a broken item
study group help,we will ask for help in organizing a study group
pet sitting request,i will request someone to pet sit while i am away
moving help inquire,you can inquire about help with moving to a new home
budget planning assistance,we will ask for assistance with budget planning
feedback on outfit,i will ask for feedback on my outfit for an event
borrowing tools request,you can request to borrow tools from a neighbor
career guidance seek,we will seek career guidance from a professional
child care recommendations,i will ask for recommendations for child care providers
phone troubleshooting help,you can ask for help with troubleshooting a phone issue
party planning suggestions,we will ask for suggestions on party planning ideas
editing help request,i will request help with editing a document
travel itinerary review,you can ask someone to review your travel itinerary
workout partner find,we will ask for help in finding a workout partner
cooking technique question,i will ask a question about a specific cooking technique
networking event advice,you can ask for advice on attending a networking event
research assistance request,we will request assistance with conducting research
computer software help,i will ask for help with using a specific computer software
lost item search assistance,you can ask for assistance in searching for a lost item
gift wrapping help,we will ask for help with gift wrapping
tax preparation advice,i will ask for advice on tax preparation
borrow book from library,you can ask for help with borrowing a book from the library
project brainstorm assistance,we will ask for assistance in brainstorming for a project
carpool coordination help,i will ask for help with coordinating a carpool
house cleaning tips request,you can request house cleaning tips from a friend
event planning support,we will ask for support in planning an event
art supplies recommendation,i will ask for recommendations on art supplies
home repair contractor referral,you can ask for a referral for a home repair contractor
job search strategy advice,we will ask for advice on job search strategies
meal planning suggestions,i will ask for suggestions on meal planning
me need medicine,i need to buy medicine
he no can remember name of medicine,he can not remember the name of the medicine
i have prescription for medicine,i have a prescription for medicine
she no can find medicine,she can not find the medicine
we go to pharmacy for medicine,were going to the pharmacy to buy medicine
you understand my prescription,do you understand my prescription
me want to buy medicine for cough,i want to buy medicine for my cough
he no can swallow pills,he can not swallow pills
i have allergy to certain medicine,i have an allergy to a certain medicine
she no can open pill bottle,she can not open the pill bottle
we ask pharmacist for advice,we ask the pharmacist for advice
you need prescription for medicine,you need a prescription for that medicine
me need to refill prescription,i need to refill my prescription
he no can find pharmacy,he can not find the pharmacy
i have pain and need medicine,i have pain and need to buy medicine
she no can read medicine label,she can not read the medicine label
we wait for prescription to fill,we wait for the prescription to be filled
you recommend medicine for fever,can you recommend a medicine for my fever
me want to buy overthecounter medicine,i want to buy an overthecounter medicine
he no can pay for medicine,he can not pay for the medicine
i have cold and need medicine,i have a cold and need to buy medicine
she no can take medicine on time,she can not take the medicine on time
we check the medicine expiration date,we check the expiration date of the medicine
you explain dosage of medicine,can you explain the dosage of this medicine to me
me need medicine for headache,i need to buy medicine for my headache
he no can remember dosage of medicine,he can not remember the dosage of the medicine
i have stomachache and need medicine,i have a stomachache and need medicine
she no can find medicine on shelf,she can not find the medicine on the shelf
we have insurance for medicine,we have insurance to cover the cost of the medicine
you suggest medicine for back pain,can you suggest a medicine for my back pain
me want to buy medicine for flu,i want to buy medicine for the flu
he no can swallow liquid medicine,he can not swallow liquid medicine
i have rash and need medicine,i have a rash and need to buy medicine
she no can find medicine section,she can not find the medicine section
we need to take medicine with food,we need to take the medicine with food
you explain side effects of medicine,can you explain the potential side effects of this medicine
me want to buy medicine for allergies,i want to buy medicine for my allergies
he no can remember why he needs medicine,he can not remember why he needs the medicine
i have headache and need medicine,i have a headache and need to buy medicine
me want to buy rice,i want to buy some rice
he no can find bread,he can not find the bread
i have list for grocery store,i have a grocery list
she no can reach top shelf,she can not reach the top shelf
we go to store for food,were going to the store to buy food
you recommend brand of cereal,can you recommend a brand of cereal
me want to buy vegetables,i want to buy some vegetables
he no can remember what to buy,he can not remember what to buy
i have coupon for discount,i have a coupon for a discount
she no can carry heavy items,she can not carry heavy items
we ask clerk for assistance,we ask the clerk for assistance
you need to pay for groceries,you need to pay for the groceries
me need to buy glutenfree bread,i need to buy glutenfree bread
he no can find shopping cart,he can not find a shopping cart
i have dietary restrictions,i have certain dietary restrictions
she no can find her wallet,she can not find her wallet
we need to buy milk and eggs,we need to buy milk and eggs
you bag groceries for customers,you bag the groceries for the customers
me want to buy fruits,i want to buy some fruits
he no can lift heavy items,he can not lift heavy items
i have to buy snacks for party,i need to buy snacks for the party
she no can read food labels,she can not read the food labels
we need to buy groceries for week,we need to buy groceries for the week
you help me find food items,you help me find the food items
me want to buy nonperishable food,i want to buy nonperishable food
he no can find shopping basket,he can not find a shopping basket
i have to buy food for my pet,i need to buy food for my pet
she no can decide what to buy,she can not decide what to buy
we check food expiration dates,we check the expiration dates of the food items
you suggest brand of rice,can you suggest a brand of rice
me need to buy bread,i need to buy some bread
he no can find certain food item,he can not find a certain food item
i have to buy snacks for movie night,i need to buy snacks for movie night
she no can read prices correctly,she can not read the prices correctly
we need to buy pasta for dinner,we need to buy pasta for dinner
you assist customers with bags,you assist the customers with their bags
me want to buy canned foods,i want to buy some canned foods
he no can open packaging,he can not open the packaging
i have to buy food for picnic,i need to buy food for the picnic
she no can remember grocery list,she can not remember the grocery list
me want to buy pen,i want to buy a pen
he no can find notebook,he can not find the notebook
i have list for office supplies,i have a list of office supplies
she no can open packaging,she can not open the packaging
we go to store for stationery,were going to the store to buy stationery
you recommend brand of markers,can you recommend a brand of markers
me want to buy stapler,i want to buy a stapler
he no can remember what to buy,he can not remember what to buy
i have coupon for discount,i have a coupon for a discount
she no can carry heavy items,she can not carry heavy items
we ask clerk for assistance,we ask the clerk for assistance
you need to pay for stationery,you need to pay for the stationery
me need to buy erasers,i need to buy some erasers
he no can find ballpoint pen,he can not find the ballpoint pen
i have to buy paper for printer,i need to buy paper for the printer
she no can find her wallet,she can not find her wallet
we need to buy highlighters,we need to buy some highlighters
you bag stationery for customers,you bag the stationery for the customers
me want to buy folders,i want to buy some folders
he no can lift heavy items,he can not lift heavy items
i have to buy printer ink,i need to buy printer ink
she no can read labels,she can not read the labels
we need to buy postit notes,we need to buy some postit notes
you help me find stationery items,you help me find the stationery items
me want to buy pencils,i want to buy some pencils
he no can find whiteboard marker,he can not find the whiteboard marker
i have to buy paperclips,i need to buy some paperclips
she no can decide what to buy,she can not decide what to buy
we check stationery prices,we check the prices of the stationery
you suggest brand of printer paper,can you suggest a brand of printer paper
me need to buy envelopes,i need to buy some envelopes
he no can find scissors,he can not find the scissors
i have to buy correction fluid,i need to buy correction fluid
she no can read fine print,she can not read the fine print
we need to buy glue sticks,we need to buy some glue sticks
you assist customers with bags,you assist the customers with their bags
me want to buy index cards,i want to buy some index cards
he no can find paper clips,he can not find the paper clips
i have to buy tape,i need to buy some tape
she no can remember shopping list,she can not remember the shopping list
we need to buy markers,we need to buy some markers
best travel route ask,i will ask for the best travel route to our destination
public transport options,you can ask about public transport options in the area
hotel recommendation request,we will request hotel recommendations for our trip
luggage storage inquiry,i will inquire about luggage storage options at the airport
currency exchange help,you can ask for help with finding a currency exchange service
tourist attraction advice,we will ask for advice on mustsee tourist attractions
local customs information,i will ask for information on local customs and traditions
visa application assistance,you can ask for assistance with a visa application
restaurant recommendations,we will ask for restaurant recommendations in the area
flight booking help,i will ask for help with booking a flight
packing tips request,you can request packing tips for your upcoming trip
travel insurance suggestions,we will ask for suggestions on travel insurance providers
language barrier advice,i will ask for advice on overcoming language barriers
best time to visit inquiry,you can inquire about the best time to visit a specific place
car rental service help,we will ask for help with finding a car rental service
local transportation options,i will ask about local transportation options in the city
sightseeing tour information,you can ask for information on sightseeing tours in the area
budget travel tips request,we will request tips on budget travel
accommodation booking help,i will ask for help with booking accommodations
food restrictions information,you can ask for information on handling food restrictions abroad
group travel coordination,we will ask for help in coordinating group travel arrangements
travel safety advice,i will ask for advice on travel safety precautions
souvenir shopping suggestions,you can ask for suggestions on where to buy souvenirs
itinerary review request,we will request someone to review our travel itinerary
vaccination requirements,i will ask about vaccination requirements for our destination
language learning resources,you can ask for resources to help learn the local language
transportation pass inquiry,we will inquire about transportation passes for our trip
cultural events information,i will ask for information on cultural events during our visit
local cuisine recommendations,you can ask for recommendations on local cuisine to try
airport transfer help,we will ask for help with arranging airport transfers
travel photography tips,i will ask for tips on travel photography
best shopping areas advice,you can ask for advice on the best shopping areas to visit
passport renewal assistance,we will ask for assistance with passport renewal
guided tour options,i will ask about guided tour options in the area
weather forecast check,you can ask someone to check the weather forecast for your trip
emergency contact information,we will ask for emergency contact information while traveling
local sim card suggestions,i will ask for suggestions on where to buy a local sim card
travel buddy find,you can ask for help in finding a travel buddy for your trip
me want to buy newspaper,i want to buy a newspaper
he no can find latest issue of vogue,he can not find the latest issue of vogue
i have to read the daily news,i need to read the daily news
she no can reach top shelf,she can not reach the top shelf where the magazines are located
we go to store for magazines,were going to the store to buy magazines
you suggest a good magazine to read,can you suggest a good magazine for me to read
me need to buy local newspaper,i need to buy the local newspaper
he no can remember magazine title,he can not remember the title of the magazine he wants to buy
i have coupon for discount,i have a coupon for a discount on magazines or newspapers
she no can carry heavy magazines,she can not carry the heavy magazines
we ask clerk for assistance,we ask the clerk for assistance in finding a particular magazine
you need to pay for magazines,you need to pay for the magazines
me want to buy a tech magazine,i want to buy a magazine about technology
he no can find crossword puzzle,he can not find the magazine with the crossword puzzle
i have to read the latest issue of time,i need to read the latest issue of time magazine
she no can decide which magazine to buy,she can not decide which magazine to buy
we need to buy fashion magazines,we need to buy some fashion magazines
you help me find my favorite magazine,can you help me find my favorite magazine
me want to buy travel magazine,i want to buy a magazine about travel
he no can find the financial section,he can not find the magazine with the financial section
i have to buy the sports section,i need to buy the magazine with the sports section
she no can find the news section,she can not find the magazine with the news section
we need to buy cooking magazines,we need to buy some cooking magazines
you suggest a popular magazine,can you suggest a popular magazine for me to read
me want to buy music magazine,i want to buy a magazine about music
he no can remember the magazine he likes,he can not remember the name of the magazine he likes
i have to read the entertainment news,i need to read the latest entertainment news in a magazine
she no can find the travel section,she can not find the magazine with the travel section
we need to buy science magazines,we need to buy some science magazines
you help me find a magazine on art,can you help me find a magazine about art
me want to buy a health magazine,i want to buy a magazine about health and fitness
he no can find the car section,he can not find the magazine with the car section
i have to read the technology news,i need to read the latest technology news in a magazine
she no can decide which newspaper to buy,she can not decide which newspaper to buy
we need to buy magazines for children,we need to buy some magazines for children
me want to borrow book,i want to borrow a book
he no can find book on shelf,he can not find the book on the shelf
i have overdue books to return,i need to return some overdue books
she no can read small print,she can not read the small print
we go to library for research,were going to the library to do some research
you suggest a good book to read,can you suggest a good book for me to read
me need to renew library card,i need to renew my library card
he no can remember book title,he can not remember the title of the book he wants to borrow
i have to pay library fines,i need to pay some fines at the library
she no can carry heavy books,she can not carry the heavy books
we ask librarian for help,we ask the librarian for help
you need to check out the book,you need to check out the book
me want to borrow childrens book,i want to borrow a book for children
he no can find book by certain author,he can not find the book by a certain author hes looking for
i have to return books by due date,i need to return the books by their due date
she no can find quiet study area,she can not find the quiet study area
we need to check out reference books,we need to check out some reference books
you help me find the right book,can you help me find the right book
me want to borrow audio book,i want to borrow an audio book
he no can find the book he reserved,he can not find the book he reserved
i have to search for books on the catalog,i need to search for books on the library catalog
she no can find the magazine section,she can not find the section for magazines
we need to return books before leaving,we need to return the books before we leave
you assist patrons with computer access,you assist patrons with accessing the computers
me want to borrow ebook,i want to borrow an ebook
he no can find book he borrowed before,he can not find the book he borrowed before
i have to pay for lost or damaged book,i need to pay for a book i lost or damaged
she no can find the dvd collection,she can not find the collection of dvds
we need to check out magazines,we need to check out some magazines
you help me reserve a book online,can you help me reserve a book online
me need to renew book online,i need to renew a book online
he no can remember library card number,he can not remember his library card number
i have to place a hold on a book,i need to place a hold on a book
she no can find the childrens section,she can not find the section for childrens books
we need to check out newspapers,we need to check out some newspapers
you help me find books on a certain topic,can you help me find books on a certain topic
hospital directions request,i will request directions to the hospital
clinic location ask,you can ask for the location of a nearby clinic
find pharmacy help,we will ask for help in finding the hospital pharmacy
appointment checkin inquiry,i will inquire about the checkin process for my appointment
specialist referral request,you can request a referral to see a specialist
medical records access help,we will ask for help with accessing our medical records
doctors office location,i will ask for the location of the doctors office
insurance coverage inquiry,you can inquire about insurance coverage at the clinic
emergency room wait time,we will ask about the current wait time in the emergency room
vaccination center directions,i will ask for directions to the vaccination center
billing department location,you can ask for the location of the billing department
lab results pickup,we will ask about the process for picking up lab results
hospital parking information,i will ask for information about hospital parking options
wheelchair assistance request,you can request wheelchair assistance at the clinic
find the cafeteria help,we will ask for help in finding the hospital cafeteria
visiting hours inquiry,i will inquire about the visiting hours for patients
prescription refill process,you can ask about the process for refilling a prescription
patient room number request,we will request the room number for a specific patient
medical supplies location,i will ask for the location of medical supplies in the hospital
blood donation center info,you can ask for information about the blood donation center
xray department directions,we will ask for directions to the xray department
covid19 testing site,i will ask for the location of the covid19 testing site
nurses station location,you can ask for the location of the nurses station
medical imaging center help,we will ask for help in finding the medical imaging center
register for a health class,i will ask about registering for a health class at the clinic
rehabilitation center info,you can ask for information about the rehabilitation center
hospital volunteer program,we will ask about the hospital volunteer program
maternity ward directions,i will ask for directions to the maternity ward
mental health services inquiry,you can inquire about mental health services at the clinic
schedule followup appointment,we will ask about scheduling a followup appointment
urgent care center location,i will ask for the location of the nearest urgent care center
language interpreter request,you can request a language interpreter for your appointment
pain management services,we will ask about pain management services at the hospital
find a support group,i will ask about finding a support group at the clinic
dental clinic information,you can ask for information about the dental clinic
patient discharge process,we will ask about the patient discharge process
health screening services,i will ask about health screening services at the clinic
hospital chaplain location,you can ask for the location of the hospital chaplain
me need help finding the restroom,i need help finding the restroom
excuse me can you help me please,excuse me can you help me please
he cannot open the door,he can not open the door
i have lost my way,i have lost my way
she cannot find her keys,she can not find her keys
we ask for directions,we ask for directions
can you show me how to use this,can you show me how to use this
me need help carrying groceries,i need help carrying my groceries
excuse me can you spare some change,excuse me can you spare some change
he cannot reach the top shelf,he can not reach the top shelf
i have to carry heavy luggage,i have to carry heavy luggage
she cannot open the bottle,she can not open the bottle
we ask for a favor,we ask for a favor
can you help me move this table,can you help me move this table
me need help crossing the street,i need help crossing the street
excuse me can you give me a hand,excuse me can you give me a hand
he cannot read the sign,he can not read the sign
i have trouble using this machine,i have trouble using this machine
she cannot find her phone,she can not find her phone
we need assistance with the luggage,we need assistance with the luggage
can you lend me your phone,can you lend me your phone
me need help with directions,i need help with directions
excuse me can you assist me,excuse me can you assist me
he cannot find his glasses,he can not find his glasses
i have a flat tire on my bike,i have a flat tire on my bike
she cannot find the restroom,she can not find the restroom
we need help with the moving truck,we need help with the moving truck
can you help me find my lost wallet,can you help me find my lost wallet
me need help finding a specific store,i need help finding a specific store
excuse me can you spare a minute,excuse me can you spare a minute
he cannot hear the instructions,he can not hear the instructions
i have to carry a heavy box,i have to carry a heavy box
she cannot find her way back home,she can not find her way back home
we need help carrying the furniture,we need help carrying the furniture
can you give me a ride to the airport,can you give me a ride to the airport
me need help with the groceries,i need help with the groceries
excuse me can you please assist me,excuse me can you please assist me
he cannot find his way around,he can not find his way around
i have lost my phone,i have lost my phone
bus schedule request,i will request the bus schedule for our route
train ticket purchase help,you can ask for help with purchasing train tickets
bus stop location inquiry,we will inquire about the location of the nearest bus stop
train platform information,i will ask for information about the train platform
transit map access,you can ask for access to the transit map
find train station help,we will ask for help in finding the nearest train station
bus fare information,i will ask for information about the bus fare
train seating arrangements,you can ask about seating arrangements on the train
bus route change assistance,we will ask for assistance with changing our bus route
luggage storage on train,i will ask about luggage storage options on the train
bus transfer location,you can ask for the location of the bus transfer point
train delay information,we will ask for information about train delays
monthly bus pass purchase,i will ask about purchasing a monthly bus pass
train dining car location,you can ask for the location of the trains dining car
bus route planning help,we will ask for help with planning our bus route
train ticket validation,i will ask about the process for validating train tickets
lost and found on bus,you can ask about the lost and found on the bus
sleeping car reservation,we will ask about reserving a sleeping car on the train
bus accessibility options,i will ask about accessibility options on the bus
quiet car on train inquiry,you can inquire about the location of the quiet car on the train
bus tracking app help,we will ask for help with using a bus tracking app
train restroom location,i will ask for the location of the restroom on the train
bicycle storage on bus,you can ask about bicycle storage options on the bus
wifi availability on train,we will ask about wifi availability on the train
request bus driver assistance,i will request assistance from the bus driver
train boarding process,you can ask about the train boarding process
report bus problem,we will report a problem with the bus service
train departure time,i will ask about the trains departure time
bus route detour information,you can ask for information about bus route detours
train station parking options,we will ask about parking options at the train station
student bus pass discount,i will ask about student discounts for bus passes
train travel tips,you can ask for train travel tips for your journey
bus seat reservation,we will ask about reserving a seat on the bus
traveling with pets on train,i will ask about the policy for traveling with pets on the train
bus arrival time estimate,you can ask for an estimated bus arrival time
train loyalty program inquiry,we will inquire about the train loyalty program
request bus route extension,i will request a bus route extension to a specific destination
train safety guidelines,you can ask about the trains safety guidelines
airport terminal info,i will ask for information about the airport terminal
taxi fare estimate request,you can request a fare estimate for the taxi ride
baggage claim location help,we will ask for help in finding the baggage claim area
taxi pickup point inquiry,i will inquire about the taxi pickup point at the airport
flight checkin process,you can ask about the flight checkin process
taxi service contact,we will ask for the contact information of a reliable taxi service
airport security guidelines,i will ask about the airport security guidelines
estimate taxi wait time,you can ask for an estimated wait time for a taxi
boarding pass printing help,we will ask for help with printing our boarding passes
taxi booking app recommendation,i will ask for a recommendation for a taxi booking app
airport lounge access,you can ask about gaining access to the airport lounge
share taxi options,we will ask about shared taxi options from the airport
flight delay information,i will ask for information about any flight delays
taxi payment methods,you can ask about accepted payment methods for taxis
gate change assistance,we will ask for assistance with a gate change
taxi driver tip etiquette,i will ask about the proper etiquette for tipping taxi drivers
dutyfree shopping inquiry,you can inquire about dutyfree shopping options at the airport
taxi lost and found,we will ask about the taxis lost and found policy
airport wifi access,i will ask about accessing wifi at the airport
taxi safety guidelines,you can ask about safety guidelines for taxi passengers
layover activities,we will ask for suggestions on activities during a layover
taxi route preference,i will ask the taxi driver to take a preferred route
airport parking options,you can ask about parking options at the airport
child safety seat in taxi,we will ask about the availability of child safety seats in taxis
currency exchange location,i will ask for the location of the currency exchange at the airport
prebook taxi requirement,you can ask if its necessary to prebook a taxi from the airport
airport shuttle service,we will ask about the airport shuttle service
request taxi receipt,i will request a receipt for the taxi fare
food options at the airport,you can ask about food options available at the airport
taxi company complaint process,we will ask about the complaint process for a taxi company
finding airport restrooms,i will ask for the location of restrooms at the airport
taxi license verification,you can ask about verifying a taxi drivers license
airport sleeping facilities,we will ask about available sleeping facilities at the airport
taxi luggage assistance,i will ask the taxi driver for assistance with my luggage
airport charging stations,you can ask for the location of charging stations at the airport
request taxi with extra space,we will request a taxi with extra space for luggage
flight boarding time,i will ask for the boarding time of my flight
aisle location inquiry,i will inquire about the location of a specific aisle
request shopping cart,you can request a shopping cart at the entrance
product price check,we will ask for a price check on a particular product
sale item information,i will ask for information about sale items
store hours inquiry,you can inquire about the stores hours of operation
loyalty card application,we will ask about applying for a loyalty card
restroom location help,i will ask for help finding the restrooms
item return policy,you can ask about the stores return policy
product availability check,we will ask if a specific product is available
locate customer service,i will ask for the location of the customer service desk
request product sample,you can request a sample of a product if available
store pickup options,we will ask about store pickup options for online orders
allergen information request,i will request allergen information for a specific product
price match policy inquiry,you can inquire about the stores price match policy
store layout assistance,we will ask for assistance with navigating the store layout
nutritional information,i will ask for nutritional information on a specific product
ask for a product recommendation,you can ask for a product recommendation based on your needs
inquire about instore events,we will inquire about any instore events or promotions
request a rain check,i will request a rain check for an outofstock sale item
recyclable bag purchase,you can ask about purchasing a recyclable shopping bag
inquire about product origin,we will inquire about the origin of a specific product
request a store directory,i will request a store directory to help navigate the aisles
gift card balance check,you can ask to check the balance on a gift card
request a carryout assistance,we will ask for assistance with carrying out our groceries
deli counter order help,i will ask for help placing an order at the deli counter
report a spill or hazard,you can report a spill or hazard to a store employee
inquire about bulk discounts,we will inquire about any available bulk discounts
request a price adjustment,i will request a price adjustment for a recently purchased item
ask about special orders,you can ask about placing a special order for a specific product
request a product hold,we will request to have a product held for later pickup
ask about selfcheckout,i will ask about using the selfcheckout lanes
inquire about store credit,you can inquire about applying for store credit
locate the pharmacy,we will ask for the location of the instore pharmacy
request product assistance,i will ask for assistance in finding a specific product
ask about ecofriendly options,you can ask about ecofriendly product options
request a product demonstration,we will request a demonstration for a specific product
inquire about online shopping,i will inquire about the stores online shopping options
post office hours inquiry,i will inquire about the post offices hours of operation
train ticket purchase,you can purchase train tickets at the ticket counter
lost and found assistance,we will ask for assistance at the lost and found
requesting a form,i will request a specific form at the public service station
passport application process,you can ask about the passport application process
public restroom location,we will ask for the location of the nearest public restroom
parking meter payment methods,i will ask about the payment methods for parking meters
library card application,you can inquire about applying for a library card
recycling center information,we will ask for information about the local recycling center
paying a fine at the courthouse,i will pay a fine at the courthouse
schedule a dmv appointment,you can schedule an appointment at the department of motor vehicles
requesting a park permit,we will request a permit for using a public park
locating the nearest bus stop,i will ask for the location of the nearest bus stop
voter registration process,you can ask about the voter registration process
reporting a pothole,we will report a pothole to the appropriate public service station
applying for a marriage license,i will apply for a marriage license at the county clerks office
trash pickup schedule,you can ask about the trash pickup schedule for your neighborhood
requesting a city map,we will request a city map at the public service station
paying property taxes,i will pay my property taxes at the local tax office
obtaining a birth certificate,you can obtain a copy of a birth certificate at the vital records office
reporting graffiti,we will report graffiti to the appropriate public service station
requesting a zoning permit,i will request a zoning permit at the city planning office
inquiring about noise complaints,you can inquire about filing a noise complaint
requesting utility service,we will request utility service for our new home
paying a parking ticket,i will pay a parking ticket at the city hall
inquiring about community events,you can inquire about upcoming community events
reporting a water leak,we will report a water leak to the local water department
obtaining a fishing license,i will obtain a fishing license at the appropriate office
inquiring about pet licenses,you can inquire about obtaining a pet license
reporting a streetlight outage,we will report a streetlight outage to the local utility company
requesting a building inspection,i will request a building inspection from the city
inquiring about emergency alerts,you can inquire about signing up for emergency alerts
requesting a tree removal,we will request a tree removal from the citys public works department
applying for a business license,i will apply for a business license at the city hall
inquiring about senior services,you can inquire about available senior services in the area
reporting a broken traffic signal,we will report a broken traffic signal to the citys transportation department
registering for a recreation program,i will register for a recreation program at the local community center
menu request,i will request a menu at the restaurant
food allergy inquiry,you can inquire about food allergens in specific dishes
daily specials request,we will ask about the daily specials
vegetarian dish options,i will ask about vegetarian dish options
appetizer recommendations,you can ask for appetizer recommendations
drink menu request,we will request a drink menu
ordering a meal,i will order a meal from the menu
asking about portion sizes,you can ask about portion sizes for specific dishes
requesting a substitution,we will request a substitution for a specific ingredient
ordering a dessert,i will order a dessert after finishing the main course
requesting a refill,you can request a refill on your drink
kids menu inquiry,we will inquire about the kids menu options
glutenfree options,i will ask about glutenfree options on the menu
sharing a dish,you can ask about sharing a dish with another person
customizing a pizza order,we will customize a pizza order with specific toppings
ordering a combo meal,i will order a combo meal at the fastfood restaurant
requesting a togo box,you can request a togo box for leftovers
inquiring about delivery options,we will inquire about food delivery options
splitting the bill,i will ask if we can split the bill among our group
asking about wait times,you can ask about the estimated wait time for your order
requesting a specific table,we will request a specific table at the restaurant
ordering a round of drinks,i will order a round of drinks for the group
inquiring about happy hour,you can inquire about happy hour specials
requesting a wine pairing,we will request a wine pairing for a specific dish
asking for the chefs special,i will ask about the chefs special of the day
requesting a high chair,you can request a high chair for a baby
ordering a side dish,we will order a side dish to complement the main course
requesting a quieter table,i will request a quieter table if the current one is too noisy
inquiring about takeout options,you can inquire about takeout options from the restaurant
ordering an appetizer to share,we will order an appetizer to share among the group
requesting a water refill,i will request a water refill for the table
asking about dessert specials,you can ask about dessert specials
requesting extra condiments,we will request extra condiments for our meal
inquiring about dietary restrictions,i will inquire about accommodating dietary restrictions
customizing a burger order,you can customize a burger order with specific toppings
requesting a menu in a different language,we will request a menu in a different language if needed
ordering a coffee,i will order a coffee with a specific type of milk and sweetener
asking about the soup of the day,you can ask about the soup of the day
locating the registrars office,i will locate the registrars office to request transcripts
course registration process,you can ask about the course registration process at the university
finding a specific classroom,we will find a specific classroom on the campus map
asking about academic advising,i will ask about academic advising services at the university
library hours of operation,you can inquire about the librarys hours of operation
locating a professors office,we will locate a professors office for office hours
joining a club on campus,i will join a club on campus to meet new people
inquiring about tutoring services,you can inquire about tutoring services available at the university
finding the nearest restroom,we will find the nearest restroom on the campus map
reporting a maintenance issue,i will report a maintenance issue in the university building
inquiring about study abroad opportunities,you can inquire about study abroad opportunities at the university
requesting a campus tour,we will request a campus tour for prospective students
accessing online resources,i will access online resources provided by the university library
asking about financial aid options,you can ask about financial aid options at the university
locating the cafeteria,we will locate the cafeteria on the campus map
inquiring about internships,i will inquire about internship opportunities at the university
reserving a study room,you can reserve a study room at the library
locating the student health center,we will locate the student health center on the campus map
registering for an elective course,i will register for an elective course that interests me
requesting accommodations for a disability,you can request accommodations for a disability at the university
finding a computer lab,we will find a computer lab on the campus map
requesting a letter of recommendation,i will request a letter of recommendation from my professor
inquiring about sports teams,you can inquire about sports teams at the university
locating the bookstore,we will locate the university bookstore on the campus map
applying for a scholarship,i will apply for a scholarship to help cover tuition costs
inquiring about housing options,you can inquire about oncampus housing options at the university
attending a guest lecture,we will attend a guest lecture on a topic of interest
dropping a class,i will drop a class that does not fit my schedule
asking about extracurricular activities,you can ask about extracurricular activities at the university
locating the gym,we will locate the gym on the campus map
inquiring about research opportunities,i will inquire about research opportunities at the university
getting a parking permit,you can get a parking permit for your vehicle at the university
finding the career center,we will find the career center on the campus map
requesting a transcript,i will request an official transcript from the registrars office
inquiring about graduation requirements,you can inquire about graduation requirements at the university
locating a lost and found,we will locate the lost and found on the campus map
planning a family dinner,i will plan a family dinner for next weekend
asking for help with chores,you can ask for help with household chores
discussing weekend plans,we will discuss our weekend plans and activities
requesting a ride to school,i will request a ride to school from my sibling
inquiring about a family members day,you can inquire about a family members day at work or school
scheduling a family meeting,we will schedule a family meeting to discuss important matters
organizing a family game night,i will organize a family game night for some fun bonding time
asking for advice,you can ask a family member for advice on a personal matter
discussing holiday plans,we will discuss our plans for the upcoming holiday season
requesting help with homework,i will request help with my homework from a family member
sharing news about a promotion,you can share the news about your recent job promotion
planning a family vacation,we will plan a family vacation to a new destination
asking about a relatives health,i will ask about a relatives health and wellbeing
offering to cook dinner,you can offer to cook dinner for the family
discussing family finances,we will discuss our familys financial situation and budget
requesting a siblings opinion,i will request my siblings opinion on a personal decision
asking about afterschool activities,you can ask about a family members afterschool activities
coordinating carpool schedules,we will coordinate carpool schedules for school and work
discussing a family members new hobby,i will discuss a family members new hobby and interests
inquiring about dinner preferences,you can inquire about dinner preferences for the family
planning a surprise party,we will plan a surprise birthday party for a family member
